Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |                   0                   1                   2                   3                   4                   5                   6                   7                   8                   9
--------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      0 | (1631.0,1923.0)=18779 (1626.4,1920.5)=    0 (1622.3,1918.1)=    0 (1617.9,1915.3)=    0 (1613.7,1912.4)=    0 (1609.5,1908.7)=    0 (1605.2,1905.2)=    0 (1600.5,1901.2)=    0 (1596.8,1897.1)=    0 (1593.4,1892.9)=    0 
      1 | (1556.0,1917.0)=17659 (1551.4,1914.6)=    0 (1547.1,1912.0)=    0 (1542.7,1909.5)=    0 (1538.8,1906.2)=    0 (1534.6,1902.7)=    0 (1530.2,1899.0)=    0 (1525.9,1895.2)=    0 (1522.0,1890.9)=    0 (1518.2,1886.8)=    0 
      2 | (1463.0,1679.0)=16213 (1458.7,1676.6)=    0 (1454.7,1674.4)=    0 (1450.3,1672.0)=    0 (1446.0,1669.3)=    0 (1441.9,1665.9)=    0 (1437.8,1662.6)=    0 (1433.3,1659.0)=    0 (1429.5,1654.9)=    0 (1426.3,1651.0)=    0 
      3 | (1574.0,1701.0)=15929 (1569.5,1698.5)=    0 (1564.9,1696.0)=    0 (1560.6,1693.6)=    0 (1556.0,1690.7)=    0 (1551.7,1687.1)=    0 (1547.4,1683.7)=    0 (1542.7,1679.8)=    0 (1538.8,1675.9)=    0 (1535.3,1671.7)=    0 
      4 | (1602.0,1699.0)=15832 (1597.4,1696.5)=    0 (1592.8,1693.9)=    0 (1588.4,1691.5)=    0 (1584.2,1688.5)=    0 (1580.1,1685.1)=    0 (1575.7,1681.3)=    0 (1571.3,1677.6)=    0 (1567.3,1673.4)=    0 (1563.4,1669.1)=    0 
      5 | (1557.0,1691.0)=15733 (1552.5,1688.6)=    0 (1548.0,1686.0)=    0 (1543.5,1683.6)=    0 (1539.3,1680.6)=    0 (1535.2,1677.2)=    0 (1530.7,1673.5)=    0 (1526.2,1669.7)=    0 (1522.1,1665.6)=    0 (1518.1,1661.4)=    0 
      6 | (1579.0,1916.0)=15709 (1574.5,1913.5)=    0 (1570.1,1910.8)=    0 (1565.7,1908.3)=    0 (1561.3,1905.2)=    0 (1557.4,1901.8)=    0 (1552.9,1897.9)=    0 (1548.4,1894.0)=    0 (1544.6,1889.8)=    0 (1540.9,1885.5)=    0 
      7 | (1609.0,1745.0)=15339 (1604.5,1742.4)=    0 (1600.4,1740.2)=    0 (1595.8,1737.5)=    0 (1591.5,1734.4)=    0 (1587.0,1730.9)=    0 (1582.8,1727.5)=    0 (1578.2,1723.6)=    0 (1574.3,1719.5)=    0 (1570.9,1715.5)=    0 
      8 | (1569.0,1748.0)=15253 (1564.5,1745.5)=    0 (1560.0,1742.9)=    0 (1555.7,1740.6)=    0 (1551.4,1737.5)=    0 (1547.3,1734.0)=    0 (1542.9,1730.5)=    0 (1538.5,1726.7)=    0 (1534.5,1722.4)=    0 (1530.5,1718.3)=    0 
      9 | (2305.0,740.0)=14764 (2300.9,737.6)=    0 (2296.9,735.4)=    0 (2292.9,733.1)=    0 (2288.5,730.7)=    0 (2284.8,727.4)=    0 (2280.6,724.3)=    0 (2276.4,720.6)=    0 (2272.4,716.7)=    0 (2269.1,712.7)=    0 
     10 | (1556.0,1932.0)=14620 (1551.5,1929.5)=    0 (1547.1,1926.9)=    0 (1542.8,1924.5)=    0 (1538.7,1921.2)=    0 (1534.8,1917.7)=    0 (1530.5,1914.0)=    0 (1525.9,1910.1)=    0 (1522.2,1905.8)=    0 (1518.3,1901.6)=    0 
     11 | (1530.0,1611.0)=14055 (1525.3,1608.5)=    0 (1520.9,1606.0)=    0 (1516.5,1603.5)=    0 (1511.9,1600.6)=    0 (1507.6,1597.2)=    0 (1503.3,1593.8)=    0 (1498.6,1590.0)=    0 (1494.7,1586.0)=    0 (1491.3,1581.8)=    0 
     12 | (1605.0,1928.0)=13906 (1600.4,1925.4)=    0 (1596.1,1923.0)=    0 (1591.8,1920.3)=    0 (1587.5,1917.1)=    0 (1583.2,1913.7)=    0 (1578.9,1909.9)=    0 (1574.4,1906.1)=    0 (1570.6,1901.8)=    0 (1567.1,1897.4)=    0 
     13 | (1618.0,1687.0)=13902 (1613.6,1684.5)=    0 (1609.1,1682.0)=    0 (1604.5,1679.5)=    0 (1599.8,1676.6)=    0 (1595.7,1673.1)=    0 (1591.3,1669.5)=    0 (1586.8,1665.7)=    0 (1582.8,1661.5)=    0 (1579.4,1657.5)=    0 
     14 | (1592.0,1930.0)=13818 (1587.4,1927.4)=    0 (1582.9,1924.9)=    0 (1578.7,1922.4)=    0 (1574.4,1919.2)=    0 (1570.4,1915.7)=    0 (1566.0,1912.0)=    0 (1561.5,1908.1)=    0 (1557.7,1903.9)=    0 (1553.8,1899.5)=    0 
     15 | (1547.0,1686.0)=12816 (1542.6,1683.6)=    0 (1538.1,1681.2)=    0 (1533.5,1678.7)=    0 (1529.1,1675.9)=    0 (1524.8,1672.4)=    0 (1520.5,1669.0)=    0 (1515.8,1665.2)=    0 (1511.8,1661.0)=    0 (1508.2,1656.9)=    0 
     16 | (1498.0,1552.0)=12532 (1493.3,1549.6)=    0 (1488.8,1547.0)=    0 (1484.3,1544.9)=    0 (1479.9,1541.9)=    0 (1475.7,1538.5)=    0 (1471.2,1535.0)=    0 (1466.8,1531.5)=    0 (1462.7,1527.4)=    0 (1458.5,1523.4)=    0 
     17 | (1602.0,1735.0)=12169 (1597.4,1732.5)=    0 (1592.9,1729.9)=    0 (1588.5,1727.4)=    0 (1584.5,1724.3)=    0 (1580.3,1721.0)=    0 (1576.1,1717.2)=    0 (1571.5,1713.3)=    0 (1567.5,1709.1)=    0 (1563.6,1705.0)=    0 
     18 | (1515.0,1659.0)=12150 (1510.4,1656.6)=    0 (1506.0,1654.1)=    0 (1501.5,1651.7)=    0 (1497.1,1648.5)=    0 (1493.3,1645.4)=    0 (1488.8,1641.7)=    0 (1484.2,1638.0)=    0 (1480.2,1633.8)=    0 (1476.2,1629.7)=    0 
     19 | (1588.0,1746.0)=12114 (1583.5,1743.4)=    0 (1579.0,1741.1)=    0 (1574.7,1738.5)=    0 (1570.2,1735.7)=    0 (1566.0,1732.3)=    0 (1561.7,1728.7)=    0 (1557.2,1724.9)=    0 (1553.1,1720.8)=    0 (1549.5,1716.4)=    0 
     20 | (1547.0,1702.0)=11744 (1542.5,1699.7)=    0 (1537.9,1697.0)=    0 (1533.6,1694.7)=    0 (1529.3,1691.6)=    0 (1525.3,1688.1)=    0 (1520.7,1684.7)=    0 (1516.3,1680.8)=    0 (1512.2,1676.6)=    0 (1508.3,1672.6)=    0 
     21 | (1627.0,1697.0)=11685 (1622.4,1694.5)=    0 (1618.0,1692.0)=    0 (1613.4,1689.7)=    0 (1608.9,1686.6)=    0 (1604.7,1683.1)=    0 (1600.4,1679.5)=    0 (1595.7,1675.7)=    0 (1591.9,1671.5)=    0 (1588.4,1667.4)=    0 
     22 | (1630.0,1910.0)=11621 (1625.5,1907.4)=    0 (1621.4,1905.0)=    0 (1617.0,1902.4)=    0 (1612.7,1899.4)=    0 (1608.4,1895.8)=    0 (1604.2,1892.2)=    0 (1599.6,1888.2)=    0 (1595.9,1883.9)=    0 (1592.5,1879.7)=    0 
     23 | (1640.0,1605.0)=11590 (1635.4,1602.5)=    0 (1630.9,1599.9)=    0 (1626.5,1597.5)=    0 (1622.4,1594.4)=    0 (1618.2,1591.1)=    0 (1614.0,1587.5)=    0 (1609.4,1583.8)=    0 (1605.6,1579.6)=    0 (1601.4,1575.6)=    0 
     24 | (1567.0,1918.0)=11323 (1562.6,1915.5)=    0 (1558.2,1912.9)=    0 (1553.7,1910.4)=    0 (1549.6,1907.4)=    0 (1545.5,1903.8)=    0 (1541.1,1900.2)=    0 (1536.7,1896.3)=    0 (1532.8,1892.1)=    0 (1529.1,1887.8)=    0 
     25 | (1576.0,1737.0)=11168 (1571.6,1734.5)=    0 (1567.1,1732.1)=    0 (1562.7,1729.6)=    0 (1558.3,1726.7)=    0 (1553.8,1723.1)=    0 (1549.6,1719.6)=    0 (1544.9,1715.8)=    0 (1541.0,1711.6)=    0 (1537.5,1707.5)=    0 
     26 | (1565.0,1671.0)=10634 (1560.4,1668.4)=    0 (1556.2,1666.0)=    0 (1551.6,1663.7)=    0 (1547.2,1660.8)=    0 (1542.8,1657.5)=    0 (1538.6,1653.9)=    0 (1533.9,1650.2)=    0 (1529.9,1646.1)=    0 (1526.5,1641.9)=    0 
     27 | (1514.0,1586.0)=10357 (1509.4,1583.5)=    0 (1504.8,1580.8)=    0 (1500.4,1578.5)=    0 (1496.1,1575.6)=    0 (1492.0,1572.3)=    0 (1487.7,1568.9)=    0 (1483.0,1565.2)=    0 (1478.8,1561.1)=    0 (1474.9,1557.0)=    0 
     28 | (1614.0,1899.0)= 9965 (1609.6,1896.5)=    0 (1605.3,1894.0)=    0 (1600.9,1891.5)=    0 (1596.5,1888.4)=    0 (1592.3,1884.8)=    0 (1588.1,1881.2)=    0 (1583.5,1877.3)=    0 (1579.6,1873.0)=    0 (1576.0,1868.9)=    0 
     29 | (1628.0,1681.0)= 9861 (1623.5,1678.5)=    0 (1618.8,1676.0)=    0 (1614.4,1673.6)=    0 (1610.2,1670.5)=    0 (1606.0,1667.1)=    0 (1601.7,1663.5)=    0 (1597.2,1659.7)=    0 (1593.2,1655.5)=    0 (1589.2,1651.3)=    0 
     30 | (1466.0,1623.0)= 9655 (1461.4,1620.8)=    0 (1457.2,1618.6)=    0 (1452.6,1616.3)=    0 (1448.2,1613.5)=    0 (1444.0,1610.2)=    0 (1439.6,1606.8)=    0 (1435.0,1603.3)=    0 (1431.1,1599.3)=    0 (1427.6,1595.4)=    0 
     31 | (1609.0,1669.0)= 9566 (1604.4,1666.6)=    0 (1599.9,1664.0)=    0 (1595.5,1661.6)=    0 (1591.3,1658.6)=    0 (1587.1,1655.2)=    0 (1582.9,1651.6)=    0 (1578.3,1647.7)=    0 (1574.5,1643.7)=    0 (1570.3,1639.5)=    0 
     32 | (1424.0,1643.0)= 9118 (1419.9,1640.8)=    0 (1415.5,1638.4)=    0 (1411.0,1636.1)=    0 (1407.3,1633.2)=    0 (1403.2,1630.2)=    0 (1399.1,1626.5)=    0 (1394.8,1622.9)=    0 (1390.8,1618.8)=    0 (1386.8,1614.9)=    0 
     33 | (1655.0,1651.0)= 8453 (1650.4,1648.5)=    0 (1646.1,1646.1)=    0 (1641.6,1643.6)=    0 (1637.1,1640.6)=    0 (1632.8,1637.1)=    0 (1628.7,1633.6)=    0 (1623.8,1629.7)=    0 (1619.9,1625.5)=    0 (1616.5,1621.5)=    0 
     34 | (1632.0,1938.0)= 8259 (1627.4,1935.5)=    0 (1623.5,1933.0)=    0 (1619.2,1930.3)=    0 (1614.7,1927.3)=    0 (1610.5,1923.7)=    0 (1606.2,1920.2)=    0 (1601.6,1915.9)=    0 (1598.0,1911.9)=    0 (1594.5,1907.6)=    0 
     35 | (1554.0,1948.0)= 8253 (1549.6,1945.5)=    0 (1544.9,1942.8)=    0 (1540.7,1940.4)=    0 (1536.5,1937.2)=    0 (1532.7,1933.8)=    0 (1528.4,1929.9)=    0 (1524.1,1926.1)=    0 (1520.1,1921.7)=    0 (1516.3,1917.6)=    0 
     36 | (2295.0,744.0)= 8088 (2291.0,741.4)=    0 (2286.9,739.0)=    0 (2282.8,737.0)=    0 (2278.9,734.4)=    0 (2275.1,731.3)=    0 (2271.2,728.0)=    0 (2267.0,724.5)=    0 (2263.2,720.4)=    0 (2259.1,716.5)=    0 
     37 | (1570.0,1902.0)= 7932 (1565.6,1899.6)=    0 (1561.1,1897.2)=    0 (1556.8,1894.6)=    0 (1552.7,1891.5)=    0 (1548.4,1888.0)=    0 (1544.0,1884.3)=    0 (1539.7,1880.5)=    0 (1536.1,1876.2)=    0 (1532.2,1872.1)=    0 
     38 | (1605.0,1918.0)= 7925 (1600.4,1915.5)=    0 (1596.2,1913.0)=    0 (1591.9,1910.4)=    0 (1587.6,1907.2)=    0 (1583.5,1903.7)=    0 (1579.1,1899.9)=    0 (1574.8,1896.0)=    0 (1570.9,1891.8)=    0 (1567.2,1887.7)=    0 
     39 | (3231.0,1328.0)= 7795 (3226.8,1325.2)=    0 (3221.8,1322.1)=    0 (3217.0,1319.4)=    0 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 
     40 | (1422.0,925.0)= 7707 (1417.4,923.5)=    0 (1412.3,922.0)=    0 (1407.7,920.9)=    0 (1402.6,919.3)=    0 (1398.0,916.6)=    0 (1393.6,914.2)=    0 (1388.8,911.5)=    0 (1384.7,908.3)=    0 (1381.0,904.7)=    0 
